Code,Name,StartDate,EndDate,IsActiveNow,IsDelisted,EODHD
MNK,Mallinckrodt plc,2014-08-19,2017-07-26,0,1,MNK_old.US
MNST,Monster Beverage Corp,2012-06-29,,1,0,MNST.US
MO,Altria Group,1957-03-04,,1,0,MO.US
MOH,Molina Healthcare Inc,2022-03-02,,1,0,MOH.US
MON,Monument Circle Acquisition Corp,,2018-06-07,0,1,MON.US
MOS,The Mosaic Company,2011-09-23,,1,0,MOS.US
MPC,Marathon Petroleum Corp,2011-07-01,,1,0,MPC.US
MPWR,Monolithic Power Systems Inc,2021-02-12,,1,0,MPWR.US
MRK,Merck & Company Inc,1957-03-04,,1,0,MRK.US
MRNA,Moderna Inc,2021-07-21,,1,0,MRNA.US
MRO,Marathon Oil Corporation,1957-03-04,2024-11-26,0,1,
MRP_old,Millrose Properties Inc CL A,2025-01-21,2025-02-10,0,1,
MS,Morgan Stanley,1993-07-29,,1,0,MS.US
MSCI,MSCI Inc,2018-04-04,,1,0,MSCI.US
MSFT,Microsoft Corporation,1994-06-01,,1,0,MSFT.US
MSI,Motorola Solutions Inc,1957-03-04,,1,0,MSI.US
MTB,M&T Bank Corporation,2004-02-23,,1,0,MTB.US
MTCH,Match Group Inc,2021-09-20,,1,0,MTCH.US
MTD,Mettler-Toledo International Inc,2016-09-06,,1,0,MTD.US
MU,Micron Technology Inc,1994-09-27,,1,0,MU.US
MUR,Murphy Oil Corporation,,2017-07-26,0,0,MUR.US
MXIM,Maxim Integrated Products Inc,2018-12-03,2021-08-30,0,1,
NAVI,Navient Corp,2014-05-01,2018-06-05,0,0,NAVI.US
NBL,Noble Energy Inc,,2020-10-12,0,1,NBL.US
NCLH,Norwegian Cruise Line Holdings Ltd,2017-10-13,,1,0,NCLH.US
NDAQ,Nasdaq Inc,2008-10-22,,1,0,NDAQ.US
NDSN,Nordson Corporation,2022-02-15,,1,0,NDSN.US
NEE,Nextera Energy Inc,1976-06-30,,1,0,NEE.US
NEM,Newmont Goldcorp Corp,1969-06-30,,1,0,NEM.US
NFLX,Netflix Inc,2010-12-17,,1,0,NFLX.US
NFX,Newfield Exploration Company,2010-12-17,2019-02-15,0,1,
NI,NiSource Inc,2000-11-02,,1,0,NI.US
NKE,Nike Inc,1988-11-30,,1,0,NKE.US
NKTR,Nektar Therapeutics,2018-03-19,2019-10-03,0,0,NKTR.US
NLSN,Nielsen Holdings PLC,2013-07-09,2022-10-12,0,1,NLSN.US
NOC,Northrop Grumman Corporation,1957-03-04,,1,0,NOC.US
NOV,NOV Inc.,,2021-09-20,0,0,NOV.US
NOW,ServiceNow Inc,2019-11-21,,1,0,NOW.US
NRG,NRG Energy Inc.,2010-01-29,,1,0,NRG.US
NSC,Norfolk Southern Corporation,1957-03-04,,1,0,NSC.US
NTAP,NetApp Inc,1999-06-25,,1,0,NTAP.US
NTRS,Northern Trust Corporation,1998-01-30,,1,0,NTRS.US
NUE,Nucor Corp,1985-04-30,,1,0,NUE.US
NVDA,NVIDIA Corporation,2001-11-30,,1,0,NVDA.US
NVR,NVR Inc,2019-09-26,,1,0,NVR.US
NVT,nVent Electric PLC,2018-05-01,2018-05-02,0,0,NVT.US
NWL,Newell Brands Inc,,2023-09-18,0,0,NWL.US
NWS,News Corp B,2015-09-21,,1,0,NWS.US
NWSA,News Corp A,2013-07-01,,1,0,NWSA.US
NXPI,NXP Semiconductors NV,2021-03-22,,1,0,NXPI.US
O,Realty Income Corporation,2015-04-07,,1,0,O.US
ODFL,Old Dominion Freight Line Inc,2019-12-09,,1,0,ODFL.US
OGN,Organon & Co,2021-06-03,2023-10-18,0,0,OGN.US
OKE,ONEOK Inc,2010-03-15,,1,0,OKE.US
OMC,Omnicom Group Inc,1997-12-31,,1,0,OMC.US
ON,ON Semiconductor Corporation,2022-06-21,,1,0,ON.US
ONL,Orion Office Reit Inc,2021-11-15,2021-11-16,0,0,ONL.US
ORCL,Oracle Corporation,1989-08-31,,1,0,ORCL.US
ORLY,O’Reilly Automotive Inc,2009-03-27,,1,0,ORLY.US
OTIS,Otis Worldwide Corp,2020-04-03,,1,0,OTIS.US
OXY,Occidental Petroleum Corporation,1957-03-04,,1,0,OXY.US
PANW,Palo Alto Networks Inc,2023-06-20,,1,0,PANW.US
PARA,Paramount Global Class B,1994-09-30,,1,0,PARA.US
PAYC,Paycom Soft,2020-01-28,,1,0,PAYC.US
PAYX,Paychex Inc,1998-10-01,,1,0,PAYX.US
PBCT,People's United Financial Inc,,2022-04-04,0,1,PBCT.US
PBI,Pitney Bowes Inc,,2017-03-01,0,0,PBI.US
PCAR,PACCAR Inc,1980-12-31,,1,0,PCAR.US
PCG,PG&E Corp,2022-10-03,,1,0,PCG.US
PDCO,Patterson Companies Inc,,2018-03-19,0,0,PDCO.US
PEG,Public Service Enterprise Group Inc,1957-03-04,,1,0,PEG.US
PENN,Penn National Gaming Inc,2021-03-22,2022-09-19,0,0,PENN.US
PEP,PepsiCo Inc,1957-03-04,,1,0,PEP.US
PFE,Pfizer Inc,1957-03-04,,1,0,PFE.US
PFG,Principal Financial Group Inc,2002-07-22,,1,0,PFG.US
PG,Procter & Gamble Company,1957-03-04,,1,0,PG.US
PGR,Progressive Corp,1997-08-04,,1,0,PGR.US
PH,Parker-Hannifin Corporation,1985-11-30,,1,0,PH.US
PHIN,PHINIA Inc.,2023-07-05,2023-07-06,0,0,PHIN.US
PHM,PulteGroup Inc,1984-04-30,,1,0,PHM.US
PKG,Packaging Corp of America,2017-07-26,,1,0,PKG.US
PLD,Prologis Inc,2003-07-17,,1,0,PLD.US
PLTR,Palantir Technologies Inc. Class A Common Stock,2024-09-23,,1,0,PLTR.US
PM,Philip Morris International Inc,2008-03-31,,1,0,PM.US
PNC,PNC Financial Services Group Inc,1988-04-30,,1,0,PNC.US
PNR,Pentair PLC,2012-10-01,,1,0,PNR.US
PNW,Pinnacle West Capital Corp,1999-10-04,,1,0,PNW.US
PODD,Insulet Corporation,2023-03-15,,1,0,PODD.US
POOL,Pool Corporation,2020-10-07,,1,0,POOL.US
PPG,PPG Industries Inc,1957-03-04,,1,0,PPG.US
PPL,PPL Corporation,2001-10-01,,1,0,PPL.US
PRGO,Perrigo Company PLC,2011-12-16,2021-09-20,0,0,PRGO.US
PRSP,Perspecta Inc,2018-06-01,2018-06-04,0,1,PRSP.US
PRU,Prudential Financial Inc,2002-07-22,,1,0,PRU.US
PSA,Public Storage,2005-08-19,,1,0,PSA.US
PSX,Phillips 66,2012-05-01,,1,0,PSX.US
PTC,PTC Inc,2021-04-20,,1,0,PTC.US
PVH,PVH Corp,2013-02-14,2022-09-19,0,0,PVH.US
PWR,Quanta Services Inc,2009-07-01,,1,0,PWR.US
PXD,Pioneer Natural Resources Co,2008-09-24,2024-05-08,0,1,
PYPL,PayPal Holdings Inc,2015-07-20,,1,0,PYPL.US
QCOM,Qualcomm Incorporated,1999-07-22,,1,0,QCOM.US
QRVO,Qorvo Inc,2015-06-12,2024-12-23,0,0,QRVO.US
R,Ryder System Inc,,2017-06-19,0,0,R.US
RAI,Reynolds American Inc,,2017-07-26,0,1,
RCL,Royal Caribbean Cruises Ltd,2014-12-05,,1,0,RCL.US
REG,Regency Centers Corporation,2017-03-02,,1,0,REG.US
REGN,Regeneron Pharmaceuticals Inc,2013-05-01,,1,0,REGN.US
REZI,Resideo Technologies Inc,2018-10-29,2018-10-30,0,0,REZI.US
RF,Regions Financial Corporation,1998-08-28,,1,0,RF.US
RHI,Robert Half International Inc,2000-12-05,2024-06-24,0,0,RHI.US
RHT,Red Hat Inc,,2019-07-15,0,1,
RIG,Transocean Ltd,2013-10-29,2017-07-26,0,0,RIG.US
RJF,Raymond James Financial Inc.,2017-03-20,,1,0,RJF.US
RL,Ralph Lauren Corp Class A,2007-02-02,,1,0,RL.US
RMD,ResMed Inc,2017-07-26,,1,0,RMD.US
ROK,Rockwell Automation Inc,2000-03-12,,1,0,ROK.US
ROL,Rollins Inc,2018-10-01,,1,0,ROL.US
ROP,"Roper Technologies, Inc.",2009-12-23,,1,0,ROP.US
ROST,Ross Stores Inc,2009-12-18,,1,0,ROST.US
RRC,Range Resources Corp,2007-12-20,2018-06-18,0,0,RRC.US
RSG,Republic Services Inc,2008-12-05,,1,0,RSG.US
RTN,Raytheon Company,,2020-04-06,0,1,
RTX,Raytheon Technologies Corp,1957-03-04,,1,0,RTX.US
RVTY,Revvity Inc.,1985-05-31,,1,0,RVTY.US
SBAC,SBA Communications Corp,2017-09-01,,1,0,SBAC.US
SBNY,Signature Bank,2021-12-20,2023-03-15,0,0,SBNY.US
SBUX,Starbucks Corporation,2000-06-07,,1,0,SBUX.US
SCG,SCANA Corporation,,2019-01-02,0,1,
SCHW,Charles Schwab Corp,1997-06-02,,1,0,SCHW.US
SE,Sea Ltd,,2017-02-28,0,0,
SEDG,SolarEdge Technologies Inc,2021-12-20,2023-12-18,0,0,SEDG.US
SEE,Sealed Air Corporation,,2023-12-18,0,0,SEE.US
SHW,Sherwin-Williams Co,1964-06-30,,1,0,SHW.US
SIG,Signet Jewelers Ltd,2015-07-29,2018-03-19,0,0,SIG.US
SIVB,SVB Financial Group,2018-03-19,2023-03-15,0,1,
SJM,JM Smucker Company,2008-11-06,,1,0,SJM.US
SLB,Schlumberger NV,1957-03-04,,1,0,SLB.US
SLG,SL Green Realty Corp,2015-03-23,2021-03-22,0,0,SLG.US
SLVM,Sylvamo Corp,2021-10-01,2021-10-04,0,0,SLVM.US
SMCI,Super Micro Computer Inc,2024-03-18,,1,0,SMCI.US
SNA,Snap-On Inc,1982-09-30,,1,0,SNA.US
SNI,Scripps Networks Interactive Inc,,2018-03-07,0,1,
SNPS,Synopsys Inc,2017-03-16,,1,0,SNPS.US
SO,Southern Company,1957-03-04,,1,0,SO.US
SOLV,Solventum Corp.,2024-04-01,,1,0,SOLV.US
SPG,Simon Property Group Inc,2002-06-26,,1,0,SPG.US
SPGI,S&P Global Inc,1957-03-04,,1,0,SPGI.US
SPLS,Staples Inc,,2017-09-18,0,1,
SRCL,Stericycle Inc,,2018-12-03,0,0,SRCL.US
SRE,Sempra Energy,2017-03-17,,1,0,SRE.US
STE,STERIS plc,2019-12-23,,1,0,STE.US
STI,Solidion Technology Inc.,,2019-12-09,0,0,
STJ,St. Jude Medical Inc,,2017-01-05,0,1,
STLD,Steel Dynamics Inc,2022-12-22,,1,0,STLD.US
STT,State Street Corp,2003-03-14,,1,0,STT.US
STX,Seagate Technology PLC,2012-07-02,,1,0,STX.US
STZ,Constellation Brands Inc Class A,2005-07-01,,1,0,STZ.US
SW,Smurfit WestRock plc,2024-07-08,,1,0,SW.US
SWK,Stanley Black & Decker Inc,1982-09-30,,1,0,SWK.US
SWKS,Skyworks Solutions Inc,2015-03-12,,1,0,SWKS.US
SWN,Southwestern Energy Company,,2017-04-04,0,1,SWN.US
SYF,Synchrony Financial,2015-11-18,,1,0,SYF.US
SYK,Stryker Corporation,2000-12-12,,1,0,SYK.US
SYY,Sysco Corporation,1986-12-31,,1,0,SYY.US
T,AT&T Inc,1983-11-30,,1,0,T.US
TAP,Molson Coors Brewing Co Class B,1976-06-30,,1,0,TAP.US
TDC,Teradata Corp,2007-10-01,2017-06-19,0,0,TDC.US
TDG,Transdigm Group Incorporated,2016-06-03,,1,0,TDG.US
TDY,Teledyne Technologies Incorporated,2020-06-22,,1,0,TDY.US
TECH,Bio-Techne Corp,2021-08-30,,1,0,TECH.US
TEL,TE Connectivity Ltd,2011-10-14,,1,0,TEL.US
TER,Teradyne Inc,2020-09-21,,1,0,TER.US
TFC,Truist Financial Corp,1997-12-04,,1,0,TFC.US
TFCF,Twenty-First Century Fox Inc,2015-09-21,2019-03-20,0,1,TFCF.US
TFCFA,Twenty-First Century Fox Inc,,2019-03-20,0,1,TFCFA.US
TFX,Teleflex Incorporated,2019-01-18,2025-03-24,0,0,TFX.US
TGNA,Tegna Inc,,2017-06-02,0,0,TGNA.US
TGT,Target Corporation,1976-12-31,,1,0,TGT.US
TIF,Tiffany & Co,,2021-01-07,0,1,TIF.US
TJX,The TJX Companies Inc,1985-09-30,,1,0,TJX.US
TMO,Thermo Fisher Scientific Inc,2004-08-03,,1,0,TMO.US
TMUS,T-Mobile US Inc,2019-07-15,,1,0,TMUS.US
TNL,Travel + Leisure Co,,2018-05-31,0,0,TNL.US
TPL,Texas Pacific Land Trust,2024-11-26,,1,0,TPL.US
TPR,Tapestry Inc,2004-09-01,,1,0,TPR.US
TRGP,Targa Resources Inc,2022-10-12,,1,0,TRGP.US
TRIP,TripAdvisor Inc,2011-12-20,2019-12-23,0,0,TRIP.US
TRMB,Trimble Inc,2021-01-21,,1,0,TRMB.US
TROW,T. Rowe Price Group Inc,2019-07-29,,1,0,TROW.US
TRV,The Travelers Companies Inc,2002-08-21,,1,0,TRV.US
TSCO,Tractor Supply Company,2014-01-24,,1,0,TSCO.US
TSLA,Tesla Inc,2020-12-21,,1,0,TSLA.US
TSN,Tyson Foods Inc,2005-08-10,,1,0,TSN.US
TSS,Total System Services Inc,,2019-09-23,0,1,
TT,Trane Technologies plc,2010-11-17,,1,0,TT.US
TTWO,Take-Two Interactive Software Inc,2018-03-19,,1,0,TTWO.US
TWTR,Twitter Inc,2018-06-07,2022-11-01,0,1,
TWX,Time Warner Inc,,2018-06-20,0,1,
TXN,Texas Instruments Incorporated,2001-03-12,,1,0,TXN.US
TXT,Textron Inc,1978-12-31,,1,0,TXT.US
TYL,Tyler Technologies Inc,2020-06-22,,1,0,TYL.US
UA,Under Armour Inc C,2016-04-08,2022-06-21,0,0,UA.US
UAA,Under Armour Inc A,2014-05-01,2022-06-21,0,0,UAA.US
UAL,United Airlines Holdings Inc,2015-09-03,,1,0,UAL.US
UBER,Uber Technologies Inc,2023-12-18,,1,0,UBER.US
UDR,UDR Inc,2016-03-07,,1,0,UDR.US
UHS,Universal Health Services Inc,2014-09-22,,1,0,UHS.US
ULTA,Ulta Beauty Inc,2016-04-18,,1,0,ULTA.US
UNH,UnitedHealth Group Incorporated,1994-07-01,,1,0,UNH.US
UNM,Unum Group,,2021-09-20,0,0,UNM.US
UNP,Union Pacific Corporation,1957-03-04,,1,0,UNP.US
UPS,United Parcel Service Inc,2002-07-22,,1,0,UPS.US
URBN,Urban Outfitters Inc,,2017-03-20,0,0,URBN.US
URI,United Rentals Inc,2014-09-22,,1,0,URI.US
USB,U.S. Bancorp,1999-11-01,,1,0,USB.US
V,Visa Inc. Class A,2009-12-18,,1,0,V.US
VAR,Varian Medical Systems Inc,,2021-04-20,0,1,
VFC,VF Corporation,1979-06-30,2024-04-03,0,0,VFC.US
VIAB,Viacom Inc,,2019-12-05,0,1,
VICI,VICI Properties Inc,2022-06-08,,1,0,VICI.US
VLO,Valero Energy Corporation,2002-12-20,,1,0,VLO.US
VLTO,Veralto Corporation,2023-10-02,,1,0,VLTO.US
VMC,Vulcan Materials Company,1999-06-30,,1,0,VMC.US
VNO,Vornado Realty Trust,,2023-01-05,0,0,VNO.US
VNT,Vontier Corp,2020-10-09,2021-03-22,0,0,VNT.US
VREX,Varex Imaging Corp,2017-01-30,2017-01-31,0,0,VREX.US
VRSK,Verisk Analytics Inc,2015-10-08,,1,0,VRSK.US
VRSN,VeriSign Inc,2006-02-01,,1,0,VRSN.US
VRTX,Vertex Pharmaceuticals Inc,2013-09-23,,1,0,VRTX.US
VSCO,Victoria's Secret & Co,2021-08-03,2021-08-04,0,0,VSCO.US
VST,Vistra Energy Corp,2024-05-08,,1,0,VST.US
VTR,Ventas Inc,2009-03-03,,1,0,VTR.US
VTRS,Viatris Inc,2004-04-23,,1,0,VTRS.US
VZ,Verizon Communications Inc,1983-11-30,,1,0,VZ.US
WAB,Westinghouse Air Brake Technologies Corp,2019-02-26,,1,0,WAB.US
WAT,Waters Corporation,2002-01-02,,1,0,WAT.US
WBA,Walgreens Boots Alliance Inc,1979-12-31,,1,0,WBA.US
WBD,Warner Bros Discovery Inc,2014-08-07,,1,0,WBD.US
WCG,WellCare Health Plans Inc,2018-09-17,2020-01-28,0,1,
WDAY,Workday Inc,2024-12-23,,1,0,WDAY.US
WDC,Western Digital Corporation,2009-07-01,,1,0,WDC.US
WEC,WEC Energy Group Inc,2008-10-31,,1,0,WEC.US
WELL,Welltower Inc,2009-01-30,,1,0,WELL.US
WFC,Wells Fargo & Company,1976-06-30,,1,0,WFC.US
WFM,Whole Foods Market Inc,,2017-08-29,0,1,
WHR,Whirlpool Corporation,1958-03-31,2024-03-18,0,0,WHR.US
WM,Waste Management Inc,1998-08-31,,1,0,WM.US
WMB,Williams Companies Inc,1975-03-31,,1,0,WMB.US
WMT,Walmart Inc,1982-08-31,,1,0,WMT.US
WRB,W. R. Berkley Corp,2019-12-05,,1,0,WRB.US
WSM,Williams-Sonoma Inc,2025-03-24,,1,0,WSM.US
WST,West Pharmaceutical Services Inc,2020-05-22,,1,0,WST.US
WTW,Willis Towers Watson PLC,2016-01-05,,1,0,WTW.US
WU,Western Union Co,,2021-12-20,0,0,WU.US
WWE,World Wrestling Entertainment Inc,2025-03-24,,1,1,WWE.US
WY,Weyerhaeuser Company,1979-10-01,,1,0,WY.US
WYNN,Wynn Resorts Limited,2008-11-14,,1,0,WYNN.US
XEC,Cimarex Energy Co,2014-06-23,2020-03-03,0,1,XEC.US
XEL,Xcel Energy Inc,1957-03-04,,1,0,XEL.US
XL,XL Fleet Corp,,2018-09-17,0,1,XL.US
XLNX,Xilinx Inc,,2022-02-15,0,1,XLNX.US
XOM,Exxon Mobil Corp,1957-03-04,,1,0,XOM.US
XRAY,Dentsply Sirona Inc,2008-11-14,2024-04-03,0,0,XRAY.US
XRX,Xerox Corp,,2021-03-22,0,0,XRX.US
XYL,Xylem Inc,2011-10-31,,1,0,XYL.US
YHOO,Yahoo! Inc,1999-12-08,2017-06-19,0,1,
YUM,Yum! Brands Inc,1997-10-06,,1,0,YUM.US
ZBH,Zimmer Biomet Holdings Inc,2001-08-07,,1,0,ZBH.US
ZBRA,Zebra Technologies Corporation,2019-12-23,,1,0,ZBRA.US
ZIMV,ZimVie Inc,2022-03-01,2022-03-02,0,0,ZIMV.US
ZION,Zions Bancorporation,2001-06-22,2024-03-18,0,0,ZION.US
ZTS,Zoetis Inc,2013-06-24,,1,0,ZTS.US
